system,method,equilibrium_distance_A,minimum_binding_energy_eV,spring_constant_N_m
LiF,Coupled cluster,1.5650823182251141,-6.0669,257.12061369703946
LiF,HSE06,1.591890134331774,-5.579818849607216,245.00132763893785
LiF,HSE06-D4,1.5918731019059078,-5.584982755697766,244.9943615980856
LiF,PBE,1.5982481741087362,-5.911683851258202,233.28577070812835
LiF,PBE-D4,1.5982228360678057,-5.918454152094023,233.27747783327234
LiF,R2SCAN,1.5995272276225407,-5.729471820296125,236.8751977272922
LiF,R2SCAN-D4,1.5995231061213235,-5.730854270864681,236.87276556767105
LiF,wB97M,1.5974707710147056,-5.8575335617873865,234.70016257289717
LiF,wB97M-D4,1.5974496378458607,-5.863244637624913,234.69301931473504
MgO,Coupled cluster,1.738184334313878,-2.6885,374.25603172677
MgO,HSE06,1.7490030966565255,-1.910093486621804,365.3668011087271
MgO,HSE06-D4,1.7488874188397414,-1.9280855054212296,365.29380545537344
MgO,PBE,1.762240575645171,-2.7635536869281623,353.4715105383919
MgO,PBE-D4,1.762082784469773,-2.786797796868054,353.3844923639378
MgO,R2SCAN,1.751193133403337,-2.380595455960062,377.03357338287105
MgO,R2SCAN-D4,1.7511660813753307,-2.3851937972597597,377.01331180102244
MgO,wB97M,1.7462395798222443,-1.8276303046939404,389.98941158298686
MgO,wB97M-D4,1.7461377630664037,-1.844138046679106,389.92320033209387
MgS,Coupled cluster,2.1398147028186325,-2.2759,231.93101669526118
MgS,HSE06,2.1428774714461234,-2.0665184002165304,236.84725396540497
MgS,HSE06-D4,2.1428038326776178,-2.100649785681359,236.86441332291412
MgS,PBE,2.1583343212814268,-2.339563605868417,218.84548729750173
MgS,PBE-D4,2.158202992343911,-2.3821349403011176,218.88278406412147
MgS,R2SCAN,2.144248724733638,-2.3316792201842205,244.11505029150717
MgS,R2SCAN-D4,2.1442393652151934,-2.339363819138242,244.11466458407307
MgS,wB97M,2.139663735766332,-1.9012196595353856,235.56198688840462
MgS,wB97M-D4,2.139628732066027,-1.9200904530040575,235.5675522788632
NaCl,Coupled cluster,2.361531703019018,-4.3044,109.97918566632076
NaCl,HSE06,2.364086672706044,-4.061958593086635,109.22536647717855
NaCl,HSE06-D4,2.364063742868967,-4.075900104631787,109.18370170245205
NaCl,PBE,2.372705552522447,-4.079227662719132,104.6430721118544
NaCl,PBE-D4,2.3726443364803798,-4.096441487691003,104.59441117916921
NaCl,R2SCAN,2.3699033676590715,-4.219660656724702,107.49812152444993
NaCl,R2SCAN-D4,2.369908133967566,-4.222710546827969,107.48557746821662
NaCl,wB97M,2.3682142408423137,-4.200906409858266,106.74221958700964
NaCl,wB97M-D4,2.368213625267585,-4.207732000675293,106.7168444152279
NaF,Coupled cluster,1.9273942182043382,-5.0024,173.67930457152713
NaF,HSE06,1.938383058223423,-4.6319068213486005,166.52136629388613
NaF,HSE06-D4,1.9383442668938318,-4.639091933797824,166.4877854757455
NaF,PBE,1.9546071162254017,-4.928723882265816,160.52208337239875
NaF,PBE-D4,1.9545515725676532,-4.9379309779188745,160.47829508726923
NaF,R2SCAN,1.941984822528835,-4.820207210291509,168.62029967531504
NaF,R2SCAN-D4,1.941977504538569,-4.8219921886102455,168.61101816280112
NaF,wB97M,1.9454616504629636,-4.847445012263339,170.45903984342328
NaF,wB97M-D4,1.9454308309707002,-4.8532958498279655,170.43202506400945
