system,method,binding_energy_eV,cc_binding_energy_eV,absolute_error_eV
Si2H6,wB97M,-3.4332252191896444,-3.507035936469034,0.07381071727938959
Si2H6,wB97M-D4,-3.5568189750358528,-3.507035936469034,0.04978303856681876
Si2H6,HSE06,-3.305035637265462,-3.507035936469034,0.2020002992035721
Si2H6,HSE06-D4,-3.407558284124299,-3.507035936469034,0.09947765234473493
Si2H6,R2SCAN,-3.2174619128174022,-3.507035936469034,0.28957402365163176
Si2H6,R2SCAN-D4,-3.2477844227887793,-3.507035936469034,0.2592515136802547
Si2H6,PBE,-3.2933571064540317,-3.507035936469034,0.21367883001500232
Si2H6,PBE-D4,-3.423064064319668,-3.507035936469034,0.08397187214936608
LiF,wB97M,-6.009894085488046,-6.066325865490093,0.05643178000204685
LiF,wB97M-D4,-6.015613557513216,-6.066325865490093,0.05071230797687676
LiF,HSE06,-5.749004655262064,-6.066325865490093,0.3173212102280285
LiF,HSE06-D4,-5.754176131117154,-6.066325865490093,0.31214973437293914
LiF,R2SCAN,-5.881118196883495,-6.066325865490093,0.18520766860659776
LiF,R2SCAN-D4,-5.882502344517841,-6.066325865490093,0.1838235209722523
LiF,PBE,-6.034319793458099,-6.066325865490093,0.03200607203199368
LiF,PBE-D4,-6.041098603017593,-6.066325865490093,0.025227262472499845
LiCl,wB97M,-4.957547985291541,-4.985847997304559,0.028300012013017906
LiCl,wB97M-D4,-4.964307257790223,-4.985847997304559,0.021540739514335883
LiCl,HSE06,-4.749661640561664,-4.985847997304559,0.2361863567428948
LiCl,HSE06-D4,-4.759780777163508,-4.985847997304559,0.22606722014105074
LiCl,R2SCAN,-4.8751932215317115,-4.985847997304559,0.1106547757728471
LiCl,R2SCAN-D4,-4.87758393432696,-4.985847997304559,0.10826406297759839
LiCl,PBE,-4.7868297762969245,-4.985847997304559,0.1990182210076341
LiCl,PBE-D4,-4.7996323628004625,-4.985847997304559,0.18621563450409617
NaF,wB97M,-4.859165150631004,-5.00532626557357,0.14616111494256678
NaF,wB97M-D4,-4.865017753687706,-5.00532626557357,0.14030851188586446
NaF,HSE06,-4.654333905665084,-5.00532626557357,0.35099235990848676
NaF,HSE06-D4,-4.661521624146729,-5.00532626557357,0.343804641426841
NaF,R2SCAN,-4.843595200825876,-5.00532626557357,0.16173106474769483
NaF,R2SCAN-D4,-4.845380607884682,-5.00532626557357,0.1599456576888887
NaF,PBE,-4.941922268530684,-5.00532626557357,0.06340399704288657
NaF,PBE-D4,-4.951130708036143,-5.00532626557357,0.054195557537427774
NaCl,wB97M,-4.185847027748835,-4.310475389264614,0.12462836151577861
NaCl,wB97M-D4,-4.192672620624586,-4.310475389264614,0.11780276864002737
NaCl,HSE06,-4.052074388772146,-4.310475389264614,0.2584010004924675
NaCl,HSE06-D4,-4.066016072378915,-4.310475389264614,0.244459316885699
NaCl,R2SCAN,-4.214150589619173,-4.310475389264614,0.0963247996454406
NaCl,R2SCAN-D4,-4.217200456858766,-4.310475389264614,0.09327493240584772
NaCl,PBE,-4.067804527920259,-4.310475389264614,0.24267086134435445
NaCl,PBE-D4,-4.08501872355872,-4.310475389264614,0.2254566657058934
Mg(OH)2,wB97M,-7.739369801911273,-8.207263933861114,0.46789413194984064
Mg(OH)2,wB97M-D4,-7.783607695534961,-8.207263933861114,0.42365623832615285
Mg(OH)2,HSE06,-7.662654265607685,-8.207263933861114,0.5446096682534289
Mg(OH)2,HSE06-D4,-7.699479072279189,-8.207263933861114,0.5077848615819249
Mg(OH)2,R2SCAN,-7.975251518833872,-8.207263933861114,0.232012415027242
Mg(OH)2,R2SCAN-D4,-7.986547158449596,-8.207263933861114,0.22071677541151757
Mg(OH)2,PBE,-7.924948920163246,-8.207263933861114,0.28231501369786827
Mg(OH)2,PBE-D4,-7.971364866829312,-8.207263933861114,0.2358990670318022
CH3SiH3,wB97M,-4.429322181768335,-4.454034188488208,0.024712006719873614
CH3SiH3,wB97M-D4,-4.551182174647348,-4.454034188488208,0.09714798615913978
CH3SiH3,HSE06,-4.245820724948704,-4.454034188488208,0.20821346353950432
CH3SiH3,HSE06-D4,-4.323601271726002,-4.454034188488208,0.13043291676220647
CH3SiH3,R2SCAN,-4.130335259130227,-4.454034188488208,0.32369892935798106
CH3SiH3,R2SCAN-D4,-4.154277807326068,-4.454034188488208,0.29975638116214043
CH3SiH3,PBE,-4.261481125791676,-4.454034188488208,0.1925530626965326
CH3SiH3,PBE-D4,-4.3632201236505495,-4.454034188488208,0.09081406483765875
Mg(SH)2,wB97M,-5.534456148384187,-5.895964856609098,0.36150870822491044
Mg(SH)2,wB97M-D4,-5.5931956669101766,-5.895964856609098,0.3027691896989211
Mg(SH)2,HSE06,-5.624669602186486,-5.895964856609098,0.27129525442261126
Mg(SH)2,HSE06-D4,-5.692283799903329,-5.895964856609098,0.20368105670576853
Mg(SH)2,R2SCAN,-5.86170627103499,-5.895964856609098,0.03425858557410777
Mg(SH)2,R2SCAN-D4,-5.8816807703018625,-5.895964856609098,0.0142840863072351
Mg(SH)2,PBE,-5.6712281218097615,-5.895964856609098,0.2247367347993361
Mg(SH)2,PBE-D4,-5.753126050794101,-5.895964856609098,0.1428388058149963
